id_no,unique_number,name_en,name_fr,name_es,category,category_short,criteria_codes,criteria_count,country_en,country_fr,country_es,countries_en,countries_fr,countries_es,country_count,iso_code,udnp_code,region_en,transboundary,latitude,longitude,area_hectares,date_inscribed,site_age_years,in_danger,ever_in_danger,danger_since,danger_status,short_description,justification,unesco_url
565,667,Kasbah of Algiers,Casbah d'Alger,Kasba de Argel,Cultural,C,C2;C5,2,Algeria,Algérie,Argelia,Algeria,Algérie,Argelia,1,dz,dza,Arab States,False,36.78333,3.06028,54.7,1992,34,False,False,,,"The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.",,https://whc.unesco.org/en/list/565/
1160,1487,Madriu-Perafita-Claror Valley,La Vallée du Madriu-Perafita-Claror,Valle del Madriu-Perafita-Claror,Cultural,C,C5,1,Andorra,Andorre,Andorra,Andorra,Andorre,Andorra,1,ad,and,Europe and North America,False,42.49472222,1.595555556,4247.0,2004,22,False,False,,,"The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open pastures and steep wooded valleys, covers an area of 4,247 ha, 9% of the total area of the principality. It reflects past changes in climate, economic fortune and social systems, as well as the persistence of pastoralism and a strong mountain culture, notably the survival of a communal land-ownership system dating back to the 13th century. The site features houses, notably summer settlements, terraced fields, stone tracks and evidence of iron smelting.",Criterion (v): The Madriu-Perafita-Claror Valley is a microcosm of the way its inhabitants have harvested the scarce resources of the high Pyrenees over the past millennia to create a sustainable living environment in harmony with the mountain landscape. The Valley is a reflection of an ancient communal system of land management that has survived for over 700 years.,https://whc.unesco.org/en/list/1160/
1511,2128,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo","Mbanza Kongo, vestiges de la capitale de l’ancien Royaume du Kongo","Vestigios de Mbanza Kongo, capital del antiguo Reino del Kongo",Cultural,C,C3;C4,2,Angola,Angola,Angola,Angola,Angola,Angola,1,ao,ang,Africa,False,-6.268888889,14.24972222,89.29,2017,9,False,False,,,"The town of Mbanza Kongo, located on a plateau at an altitude of 570 m, was the political and spiritual capital of the Kingdom of Kongo, one of the largest constituted states in Southern Africa from the 14th to 19th centuries. The historical area grew around the royal residence, the customary court and the holy tree, as well as the royal funeral places. When the Portuguese arrived in the 15th century they added stone buildings constructed in accordance with European methods to the existing urban conurbation built in local materials. Mbanza Kongo illustrates, more than anywhere in sub-Saharan Africa, the profound changes caused by the introduction of Christianity and the arrival of the Portuguese into Central Africa.",,https://whc.unesco.org/en/list/1511/
1499,2086,Antigua Naval Dockyard and Related Archaeological Sites,Chantier naval d’Antigua et sites archéologiques associés,Astillero de Antigua y sitios arqueológicos conexos,Cultural,C,C2;C4,2,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,1,ag,atg,Latin America and the Caribbean,False,17.00694444,-61.76166667,255.0,2016,10,False,False,,,"The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hurricanes and was ideal for repairing ships. The construction of the Dockyard by the British navy would not have been possible without the labour of generations of enslaved Africans since the end of the 18th century. Its aim was to protect the interests of sugar cane planters at a time when European powers were competing for control of the Eastern Caribbean.",,https://whc.unesco.org/en/list/1499/
145,160,Los Glaciares National Park,Parc national de Los Glaciares,Los Glaciares,Natural,N,N7;N8,2,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-50.0,-73.24944,726927.0,1981,45,False,False,,,"The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes.",,https://whc.unesco.org/en/list/145/
303,340,Iguazu National Park,Parc national de l'Iguazu,Parque nacional del Iguazú,Natural,N,N7;N10,2,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-25.577357,-54.286073,55000.0,1984,42,False,False,,,"The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans.",,https://whc.unesco.org/en/list/303/
936,1091,"Cueva de las Manos, Río Pinturas","Cueva de las Manos, Río Pinturas",Cueva de las Manos del Río Pinturas,Cultural,C,C3,1,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-47.15,-70.66666667,600.0,1999,27,False,False,,,"The Cueva de las Manos, Río Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos ( Lama guanicoe ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia found by European settlers in the 19th century.",Criterion (iii): The Cueva de las Manos contains an outstanding collection of prehistoric rock art which bears witness to the culture of the earliest human societies in South America.,https://whc.unesco.org/en/list/936/
937,1092,Península Valdés,Presqu'île de Valdés,Península Valdés,Natural,N,N10,1,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-42.5,-64.0,360000.0,1999,27,False,False,,,Península Valdés in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of southern elephant seals and southern sea lions. The orcas in this area have developed a unique hunting strategy to adapt to local coastal conditions.,"Criterion (x): Peninsula Valdés contains very important and significant natural habitats for the in-situ conservation of several threatened species of outstanding universal value, and specifically its globally important concentration of breeding southern right whales, which is an endangered species. It is also important because of the breeding populations of southern elephant seals and southern sea lions. The area exhibits an exceptional example of adaptation of hunting techniques by the orca to the local coastal conditions.",https://whc.unesco.org/en/list/937/
966,1130,Ischigualasto / Talampaya Natural Parks,Parcs naturels d’Ischigualasto / Talampaya,Parques naturales de Ischigualasto / Talampaya,Natural,N,N8,1,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-30.0,-68.0,275369.0,2000,26,False,False,,,"These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ago). Six geological formations in the parks contain fossils of a wide range of ancestors of mammals, dinosaurs and plants revealing the evolution of vertebrates and the nature of palaeo-environments in the Triassic Period.",Criterion (viii): The site contains a complete sequence of fossiliferous continental sediments representing the entire Triassic Period (45 million years) of geological history. No other place in the world has a fossil record comparable to that of Ischigualasto-Talampaya which reveals the evolution of vertebrate life and the nature of palaeoenvironments in the Triassic Period.,https://whc.unesco.org/en/list/966/
995,1159,Jesuit Block and Estancias of Córdoba,Ensemble et les estancias jésuites de Córdoba,Manzana y estancias jesuíticas de Córdoba,Cultural,C,C2;C4,2,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-31.42056,-64.19111,38.12,2000,26,False,False,,,"The Jesuit Block in Córdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or farming estates, they contain religious and secular buildings, which illustrate the unique religious, social, and economic experiment carried out in the world for a period of over 150 years in the 17th and 18th centuries.","Criterion (ii): The Jesuit buildings and ensembles of Córdoba and the estancias are exceptional examples of the fusion of European and indigenous values and cultures during a seminal period in South America. Criterion (iv): The religious, social, and economic experiment carried out in South America for over 150 years by the Society of Jesus produced a unique form of material expression, which is illustrated by the Jesuit buildings and ensembles of Córdoba and the estancias.",https://whc.unesco.org/en/list/995/
1116,1295,Quebrada de Humahuaca,Quebrada de Humahuaca,Quebrada de Humahuaca,Cultural,C,C2;C4;C5,3,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-23.19986111,-65.34886111,172116.4375,2003,23,False,False,,,"Quebrada de Humahuaca follows the line of a major cultural route, the Camino Inca, along the spectacular valley of the Rio Grande, from its source in the cold high desert plateau of the High Andean lands to its confluence with the Rio Leone some 150 km to the south. The valley shows substantial evidence of its use as a major trade route over the past 10,000 years. It features visible traces of prehistoric hunter-gatherer communities, of the Inca Empire (15th to 16th centuries) and of the fight for independence in the 19th and 20th centuries.","Criterion (ii): The Quebrada de Humahuaca valley has been used over the past 10,000 years as a crucial passage for the transport of people and ideas from the high Andean lands to the plains. Criteria (iv) and (v): The Quebrada de Humahuaca valley reflects the way its strategic position has engendered settlement, agriculture and trade. Its distinctive pre-Hispanic and pre-Incan settlements, as a group with their associated field systems, form a dramatic addition to the landscape and one that can certainly be called outstanding.",https://whc.unesco.org/en/list/1116/
1526,2172,Los Alerces National Park,Parc national de Los Alerces,Parque Nacional Los Alerces,Natural,N,N7;N10,2,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-42.8528,-71.8728,188379.0,2017,9,False,False,,,"The Los Alerces National Park is located in the Andes of northern Patagonia and its western boundary coincides with the Chilean border. Successive glaciations have moulded the landscape in the region creating spectacular features such as moraines, glacial cirques and clear-water lakes. The vegetation is dominated by dense temperate forests, which give way to alpine meadows higher up under the rocky Andean peaks. A highly distinctive and emblematic feature is its alerce forest; the globally threatened Alerce tree is the second longest living tree species in the world (>3,600 years). The Alerce forest in the property is in an excellent state of conservation. The property is vital for the protection of some of the last portions of continuous Patagonian Forest in an almost pristine state and is the habitat for a number of endemic and threatened species of flora and fauna.",,https://whc.unesco.org/en/list/1526/
1681,2468,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination","Musée et lieu de Mémoire de l’ESMA - Ancien centre clandestin de détention, de torture et d’extermination","Museo y Sitio de la Memoria ESMA - Ex Centro Clandestino de Detención, Tortura y Exterminio",Cultural,C,C6,1,Argentina,Argentine,Argentina,Argentina,Argentine,Argentina,1,ar,arg,Latin America and the Caribbean,False,-34.53664167,-58.46533333,0.907,2023,3,False,False,,,"This property is located within the complex of the Former Navy School of Mechanics in Buenos Aires, in the former Officers’ Quarters. This was the Argentine Navy’s principal secret detention centre during the civil-military dictatorship of 1976-1983. As part of a national strategy to destroy armed and nonviolent opposition to the military regime, the Officers' Quarters building at ESMA (Escuela Superior de Mecánica de la Armada) was used for holding captive opponents who had been abducted in Buenos Aires and interrogating, torturing and eventually killing them.",,https://whc.unesco.org/en/list/1681/
777,920,Monasteries of Haghpat and Sanahin,Monastères de Haghbat et de Sanahin,Monasterios de Haghpat y Sanahin,Cultural,C,C2;C4,2,Armenia,Arménie,Armenia,Armenia,Arménie,Armenia,1,am,arm,Europe and North America,False,41.095,44.71028,2.65,1996,30,False,False,,,"These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian region.",The Committee decided to inscribe the Monastery of Haghpat on the basis of cultural criteria (ii) and (iv) considering that it is of outstanding universal value and an exceptional example of ecclesiastical architecture that developed in Armenia in the 10th to 13th centuries which is unique by virtue of its blending of elements of both Byzantine church architecture and the traditional vernacular building style of this region.,https://whc.unesco.org/en/list/777/
960,1124,Monastery of Geghard and the Upper Azat Valley,Monastère de Gherart et la Haute vallée de l’Azat,Monasterio de Geghard y valle alto del Azat,Cultural,C,C2,1,Armenia,Arménie,Armenia,Armenia,Arménie,Armenia,1,am,arm,Europe and North America,False,40.140439,44.818525,2.7,2000,26,False,False,,,"The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley.","Criterion (ii): The monastery of Geghard, with its remarkable rock-cut churches and tombs, is an exceptionally well preserved and complete example of medieval Armenian monastic architecture and decorative art, with many innovatory features which had a profound influence on subsequent developments in the region.",https://whc.unesco.org/en/list/960/
1011,1181,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cathédrale et les églises d’Etchmiadzine et le site archéologique de Zvarnotz,Catedral e iglesias de Echmiatsin y sitio arqueológico de Zvarnotz,Cultural,C,C2;C3,2,Armenia,Arménie,Armenia,Armenia,Arménie,Armenia,1,am,arm,Europe and North America,False,40.15931,44.29514,74.3,2000,26,False,False,,,"The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and artistic development in the region.",Criterion (ii): The developments in ecclesiastical architecture represented in an outstanding manner by the churches at Echmiatsin and the archaeological site of Zvartnots had a profound influence on church design over a wide region. Criterion (iii): The churches at Echmiatsin and the archaeological site of Zvartnots vividly depict both the spirituality and the innovatory artistic achievement of the Armenian Church from its foundation.,https://whc.unesco.org/en/list/1011/
147,1872,Kakadu National Park,Parc national de Kakadu,Parque Nacional de Kakadu,Mixed,C/N,C1;C6;N7;N9;N10,5,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-12.83333333,132.8333333,1980994.92,1981,45,False,False,,,"This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region’s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a wide range of rare or endemic species of plants and animals.",,https://whc.unesco.org/en/list/147/
154,172,Great Barrier Reef,La Grande Barrière,La Gran Barrera,Natural,N,N7;N8;N9;N10,4,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-18.28611111,147.7,34870000.0,1981,45,False,False,,,"The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (‘sea cow’) and the large green turtle, which are threatened with extinction.",,https://whc.unesco.org/en/list/154/
166,1457,Sydney Opera House,Opéra de Sydney,Ópera de Sidney,Cultural,C,C1,1,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-33.85666667,151.2152778,5.8,2007,19,False,False,,,"Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted ‘shells’ which roof two main performance halls and a restaurant. These shell-structures are set upon a vast platform and are surrounded by terrace areas that function as pedestrian concourses. In 1957, when the project of the Sydney Opera House was awarded by an international jury to Danish architect Jørn Utzon, it marked a radically new approach to construction.",,https://whc.unesco.org/en/list/166/
167,185,Willandra Lakes Region,Région des lacs Willandra,Región de los Lagos Willandra,Mixed,C/N,C3;N8,2,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-34.0,143.0,240000.0,1981,45,False,False,,,"The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45–60,000 years ago. It is a unique landmark in the study of human evolution on the Australian continent. Several well-preserved fossils of giant marsupials have also been found here.",,https://whc.unesco.org/en/list/167/
181,1950,Tasmanian Wilderness,Zone de nature sauvage de Tasmanie,Zona de naturaleza salvaje de Tasmania,Mixed,C/N,C3;C4;C6;N7;N8;N9;N10,7,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-43.11847222,146.2305556,1584233.0,1982,44,False,False,,,"In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone caves attest to the human occupation of the area for more than 20,000 years.",,https://whc.unesco.org/en/list/181/
186,206,Lord Howe Island Group,Îles Lord Howe,Islas de Lord Howe,Natural,N,N7;N10,2,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-31.56555556,159.0883333,146300.0,1982,44,False,False,,,"A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds.",,https://whc.unesco.org/en/list/186/
368,422,Gondwana Rainforests of Australia,Forêts humides Gondwana de l’Australie,Bosques lluviosos del Gondwana de Australia,Natural,N,N8;N9;N10,3,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-28.25,150.05,370000.0,1986,40,False,False,,,"This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia’s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation.",,https://whc.unesco.org/en/list/368/
447,519,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Parc national d'Ulu<U>r</U>u-Kata Tju<U>t</U>a,Parque Nacional de Uluru-Kata Tjuta,Mixed,C/N,C5;C6;N7;N8,4,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-25.33333333,131.0,132566.0,1987,39,False,False,,,"This park, formerly called Uluru (Ayers Rock – Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The traditional owners of Uluru-Kata Tjuta are the Anangu Aboriginal people.",,https://whc.unesco.org/en/list/447/
486,565,Wet Tropics of Queensland,Tropiques humides de Queensland,Trópicos húmedos de Queensland,Natural,N,N7;N8;N9;N10,4,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-15.65,144.9666667,893453.0,1988,38,False,False,,,"This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along with other rare and endangered animals and plant species.",,https://whc.unesco.org/en/list/486/
577,683,Heard and McDonald Islands,Îles Heard et McDonald,Islas Heard y McDonald,Natural,N,N8;N9,2,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-53.1,73.5,658903.0,1997,29,False,False,,,"Heard Island and McDonald Islands are located in the Southern Ocean, approximately 1,700 km from the Antarctic continent and 4,100 km south-west of Perth. As the only volcanically active subantarctic islands they ‘open a window into the earth’, thus providing the opportunity to observe ongoing geomorphic processes and glacial dynamics. The distinctive conservation value of Heard and McDonald – one of the world’s rare pristine island ecosystems – lies in the complete absence of alien plants and animals, as well as human impact.","The Committee inscribed this property under criteria (viii) and (ix) . It noted that this site is the only volcanically active sub-Antarctic island and illustrates ongoing geomorphic processes and glacial dynamics in the coastal and submarine environment and sub-Antarctic flora and fauna, with no record of alien species. The Committee repeated its request by the sixteenth session for further documentation on the marine resources of the site.",https://whc.unesco.org/en/list/577/
578,684,"Shark Bay, Western Australia","Baie Shark, Australie occidentale",Bahía Shark (Australia Occidental),Natural,N,N7;N8;N9;N10,4,Australia,Australie,Australia,Australia,Australie,Australia,1,au,aus,Asia and the Pacific,False,-25.48611111,113.4361111,2200902.0,1991,35,False,False,,,"At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (‘sea cow’) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals.",,https://whc.unesco.org/en/list/578/
